"There was an error updating comments.","There was an error updating comments."
"There was an error updating nescategories.","There was an error updating nescategories."
"This article does not allow comments","This article does not allow comments"
"This article no longer exists.","This article no longer exists."
"This author no longer exists.","This author no longer exists."
"This comment no longer exists.","This comment no longer exists."
"This newscategory no longer exists.","This newscategory no longer exists."
"Title","Title"
"Total of %d articles were successfully deleted.","Total of %d articles were successfully deleted."
"Total of %d articles were successfully updated.","Total of %d articles were successfully updated."
"Total of %d authors were successfully deleted.","Total of %d authors were successfully deleted."
"Total of %d authors were successfully updated.","Total of %d authors were successfully updated."
"Total of %d comments were successfully deleted.","Total of %d comments were successfully deleted."
"Total of %d comments were successfully updated.","Total of %d comments were successfully updated."
"Total of %d nescategories were successfully deleted.","Total of %d nescategories were successfully deleted."
"Total of %d nescategories were successfully updated.","Total of %d nescategories were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find article to save.","Unable to find article to save."
"Unable to find author to save.","Unable to find author to save."
"Unable to find comment to save.","Unable to find comment to save."
"Unable to find newscategory to save.","Unable to find newscategory to save."
"Unable to post the comment.","Unable to post the comment."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"Use default config","Use default config"
"View Details","View Details"
"View {#name}","View {#name}"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
"You have submitted no comments for articles.","You have submitted no comments for articles."
"Your comment has been accepted for moderation.","Your comment has been accepted for moderation."
"Your name can't be empty","Your name can't be empty"
